                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5743,                 5.1279,                 1.4032,                      0,                      0,                      0,                      0,                 1.0965,                 4.7987,                0.98023,             7.7609e-05,             7.7609e-05,             7.7609e-05
                      2,                 1.2741,                 4.6602,                 1.1132,                0.03888,                0.11941,                0.03365,                 0.0257,                 1.0689,                 4.5438,                0.95848,             0.00015383,             0.00015383,             0.00015383
                      3,                 1.2502,                 4.1191,                 1.0998,                0.02715,                0.84666,                0.06502,                0.04562,                 1.0916,                 3.7304,                0.98855,             0.00022692,             0.00022692,             0.00022692
                      4,                 1.2871,                 3.4777,                 1.1387,                0.07043,                0.26529,                0.08478,                 0.0584,                 1.1516,                 3.1678,                 1.0461,             0.00022386,             0.00022386,             0.00022386
                      5,                 1.2672,                 3.1021,                 1.1389,                0.12231,                0.35428,                0.14462,                0.10203,                 1.0105,                 2.8635,                 1.0173,             0.00021915,             0.00021915,             0.00021915
                      6,                 1.2053,                 2.8876,                 1.1248,                0.14356,                0.27525,                0.17257,                0.12026,                 1.0078,                 2.6598,                0.99776,             0.00021444,             0.00021444,             0.00021444
                      7,                 1.1788,                 2.7601,                 1.1059,                 0.1667,                0.37749,                0.21989,                0.16325,                0.91948,                 2.4555,                0.97194,             0.00020973,             0.00020973,             0.00020973
                      8,                 1.1371,                 2.6203,                 1.0863,                0.19336,                0.41881,                 0.2632,                0.19364,                0.97035,                 2.3399,                0.99117,             0.00020501,             0.00020501,             0.00020501
                      9,                 1.1459,                 2.5366,                 1.0889,                0.23989,                0.40153,                0.29025,                0.21835,                0.94058,                 2.3512,                 0.9695,              0.0002003,              0.0002003,              0.0002003
                     10,                 1.1164,                 2.4365,                  1.075,                0.27009,                0.42963,                0.34069,                0.25381,                0.91459,                 2.1704,                0.96793,             0.00019559,             0.00019559,             0.00019559
                     11,                 1.0988,                 2.3701,                 1.0773,                0.30418,                0.45712,                0.36032,                0.27202,                0.89766,                 2.1138,                 0.9665,             0.00019088,             0.00019088,             0.00019088
                     12,                 1.0902,                  2.307,                 1.0652,                0.34696,                0.51433,                0.43961,                0.34108,                0.85563,                 1.9523,                0.94762,             0.00018616,             0.00018616,             0.00018616
                     13,                 1.0778,                 2.2321,                 1.0649,                0.41691,                0.55405,                0.48059,                 0.3637,                0.87457,                 1.8717,                0.94671,             0.00018145,             0.00018145,             0.00018145
                     14,                 1.0524,                 2.1491,                 1.0537,                0.37142,                0.57879,                0.48359,                0.37017,                0.84642,                 1.8098,                0.93736,             0.00017674,             0.00017674,             0.00017674
                     15,                 1.0431,                 2.1006,                 1.0505,                0.40387,                0.52742,                0.48978,                0.37485,                0.84179,                 1.8218,                0.94141,             0.00017203,             0.00017203,             0.00017203
                     16,                 1.0484,                 2.0646,                 1.0546,                0.39519,                0.55799,                0.48706,                0.37843,                0.85422,                 1.8044,                0.94168,             0.00016731,             0.00016731,             0.00016731
                     17,                 1.0515,                 2.0284,                 1.0546,                0.47656,                0.57838,                0.54834,                0.41658,                0.84965,                 1.6987,                0.94342,              0.0001626,              0.0001626,              0.0001626
